cell_type	contrast	n_genes_tested	n_padj_05	n_padj_05_lfc_1	top5_up	top5_down
Spleen.Naive.CD4	MBRT_vs_Ctrl	797	0	0	""	""
Spleen.Naive.CD4	SBRT_vs_Ctrl	797	7	7	Krt8,Krt18,Hmgb2,Mki67,Stmn1	H2-Aa,Fn1
Spleen.Naive.CD4	MBRT_vs_SBRT	797	0	0	""	""
spleen.red.pulp.macs	MBRT_vs_Ctrl	950	3	1	Col3a1,Stat5a,Col5a3	""
spleen.red.pulp.macs	SBRT_vs_Ctrl	950	83	14	Acta2,Pf4,Col3a1,Col1a1,Col5a3	Cdkn1a,Ifit3/b,Fkbp5,Bax,Gata3
spleen.red.pulp.macs	MBRT_vs_SBRT	950	5	1	Cdkn1a,Bax,Bcl2l1	Acta2,Lair1
Spleen.Treg	MBRT_vs_Ctrl	51	0	0	""	""
Spleen.Treg	SBRT_vs_Ctrl	51	0	0	""	""
Spleen.Treg	MBRT_vs_SBRT	51	0	0	""	""
Stem.Prog	MBRT_vs_Ctrl	950	3	2	S100a8,Col3a1	Nkg7
Stem.Prog	SBRT_vs_Ctrl	950	97	18	Top2a,Hmgb2,Mki67,Nusap1,Gzmb	Acvr1b,Il12rb1,Ifit3/b,Cd84,H2-DMb2
Stem.Prog	MBRT_vs_SBRT	950	34	7	S100a9,Clec7a,S100a8,Cdkn1a,Havcr2	Top2a,Hmgb2,Mki67,Nusap1,Ldlr
Thio.induced.Peritoneal.Neutrophil	MBRT_vs_Ctrl	354	0	0	""	""
Thio.induced.Peritoneal.Neutrophil	SBRT_vs_Ctrl	354	6	6	Meg3,Col1a2,Col1a1,Il4ra	Lcn2,Cdkn1a
Thio.induced.Peritoneal.Neutrophil	MBRT_vs_SBRT	354	7	7	Ccrl2,Cdkn1a	Col1a1,Hmgb2,Col1a2,Clu,Krt8
Thymic.4.8.CD3lo.DP	MBRT_vs_Ctrl	919	0	0	""	""
Thymic.4.8.CD3lo.DP	SBRT_vs_Ctrl	919	25	11	Col1a1,Col3a1,Col1a2,Ccl8,Meg3	Lcn2,Flt1,Cdkn1a
Thymic.4.8.CD3lo.DP	MBRT_vs_SBRT	919	16	6	Cdkn1a	Col1a1,Cfd,Col1a2,Hmgb2,Acta2
Thymic.CD4SP	MBRT_vs_Ctrl	192	0	0	""	""
Thymic.CD4SP	SBRT_vs_Ctrl	192	1	1	Col1a1	""
Thymic.CD4SP	MBRT_vs_SBRT	192	1	1	""	Krt8
Thymic.CD8SP	MBRT_vs_Ctrl	263	0	0	""	""
Thymic.CD8SP	SBRT_vs_Ctrl	263	0	0	""	""
Thymic.CD8SP	MBRT_vs_SBRT	263	0	0	""	""
Thymic.preT.DN1	MBRT_vs_Ctrl	911	0	0	""	""
Thymic.preT.DN1	SBRT_vs_Ctrl	911	15	10	Col1a1,Krt8,Ccnd1,Krt18,Col3a1	Cdkn1a
Thymic.preT.DN1	MBRT_vs_SBRT	911	13	8	Col11a1,Cdkn1a	Krt8,Krt18,Bmp7,Hmgb2,S100a4
tumor_epithelial	MBRT_vs_Ctrl	950	0	0	""	""
tumor_epithelial	SBRT_vs_Ctrl	950	99	12	Gzmb,Col6a1,Col6a2,Il1r1,Ccnd1	Ifi44l,Krt4,Krt13,Il12rb1,H2-DMb2
tumor_epithelial	MBRT_vs_SBRT	950	21	1	Apoe,Csf2,Cdkn1a,Fabp5,Il12rb1	Col6a1,Col6a2,Krt19,Ifnar1,Il1r1
