sample_id	cell_type	n_cells	fraction	condition	timepoint_h	dataset	slide_id
sam0006	T cells	160	0.000962909913759381	SBRT_4h	4	Mutter_01	sld0004
sam0006	Plasma cells	140	0.000842546174539458	SBRT_4h	4	Mutter_01	sld0004
sam0006	Epithelial cells	41	0.000246745665400841	SBRT_4h	4	Mutter_01	sld0004
sam0006	Mast cells	13	7.82364304929497e-05	SBRT_4h	4	Mutter_01	sld0004
sam0006	Neutrophils	3	1.80545608829884e-05	SBRT_4h	4	Mutter_01	sld0004
sam0007	Fibroblast	29340	0.338248348531836	SBRT_day2	48	Mutter_01	sld0002
sam0007	Tumor	28583	0.329521218339655	SBRT_day2	48	Mutter_01	sld0002
sam0007	unassigned	15565	0.179442247610703	SBRT_day2	48	Mutter_01	sld0002
sam0007	Macrophages	8991	0.103653404964204	SBRT_day2	48	Mutter_01	sld0002
sam0007	Adipocyte	1570	0.0180998605042598	SBRT_day2	48	Mutter_01	sld0002
sam0007	SmoothMuscle	998	0.0115055164224531	SBRT_day2	48	Mutter_01	sld0002
sam0007	Endothelial	622	0.00717077276028637	SBRT_day2	48	Mutter_01	sld0002
sam0007	ILC	547	0.00630612974256695	SBRT_day2	48	Mutter_01	sld0002
sam0007	DC	229	0.00264004334743662	SBRT_day2	48	Mutter_01	sld0002
sam0007	T cells	122	0.00140648597549025	SBRT_day2	48	Mutter_01	sld0002
sam0007	Plasma cells	70	0.000807000149871456	SBRT_day2	48	Mutter_01	sld0002
sam0007	NK cells	68	0.000783943002732272	SBRT_day2	48	Mutter_01	sld0002
sam0007	Epithelial cells	20	0.000230571471391845	SBRT_day2	48	Mutter_01	sld0002
sam0007	Mast cells	13	0.000149871456404699	SBRT_day2	48	Mutter_01	sld0002
sam0007	Neutrophils	3	3.45857207087767e-05	SBRT_day2	48	Mutter_01	sld0002
sam0008	unassigned	28980	0.24713677801182	SBRT_day6	144	Mutter_01	sld0002
sam0008	Fibroblast	28207	0.240544758363678	SBRT_day6	144	Mutter_01	sld0002
sam0008	Macrophages	24692	0.210569403818766	SBRT_day6	144	Mutter_01	sld0002
sam0008	Tumor	16785	0.143139779811194	SBRT_day6	144	Mutter_01	sld0002
sam0008	ILC	9429	0.0804089951647152	SBRT_day6	144	Mutter_01	sld0002
sam0008	Adipocyte	3185	0.0271611676317338	SBRT_day6	144	Mutter_01	sld0002
sam0008	T cells	1858	0.0158447251051056	SBRT_day6	144	Mutter_01	sld0002
sam0008	SmoothMuscle	1546	0.0131840392962827	SBRT_day6	144	Mutter_01	sld0002
sam0008	Endothelial	907	0.00773475009167427	SBRT_day6	144	Mutter_01	sld0002
sam0008	DC	846	0.00721455190469287	SBRT_day6	144	Mutter_01	sld0002
sam0008	Plasma cells	437	0.00372666570017823	SBRT_day6	144	Mutter_01	sld0002
sam0008	NK cells	336	0.00286535394796313	SBRT_day6	144	Mutter_01	sld0002
sam0008	Epithelial cells	24	0.000204668139140223	SBRT_day6	144	Mutter_01	sld0002
sam0008	Mast cells	17	0.000144973265224325	SBRT_day6	144	Mutter_01	sld0002
sam0008	Neutrophils	14	0.000119389747831797	SBRT_day6	144	Mutter_01	sld0002
sam0012	Tumor	171054	0.573837256112289	Control	48	Mutter_02	sld0005
sam0012	unassigned	50395	0.169060814256193	Control	48	Mutter_02	sld0005
sam0012	Fibroblast	40344	0.135342583398191	Control	48	Mutter_02	sld0005
sam0012	Macrophages	24565	0.0824085504951558	Control	48	Mutter_02	sld0005
sam0012	Adipocyte	2889	0.00969176887362121	Control	48	Mutter_02	sld0005
sam0012	ILC	2841	0.00953074259950082	Control	48	Mutter_02	sld0005
sam0012	Endothelial	2266	0.00760178202410027	Control	48	Mutter_02	sld0005
sam0012	NK cells	1935	0.00649137167547838	Control	48	Mutter_02	sld0005
sam0012	SmoothMuscle	1205	0.00404243042323072	Control	48	Mutter_02	sld0005
sam0012	T cells	322	0.00108021792222431	Control	48	Mutter_02	sld0005
sam0012	Mast cells	110	0.000369018544859236	Control	48	Mutter_02	sld0005
sam0012	DC	100	0.000335471404417487	Control	48	Mutter_02	sld0005
sam0012	Plasma cells	23	7.71584230160221e-05	Control	48	Mutter_02	sld0005
sam0012	Epithelial cells	21	7.04489949276724e-05	Control	48	Mutter_02	sld0005
sam0012	Neutrophils	18	6.03848527951478e-05	Control	48	Mutter_02	sld0005
sam0013	Tumor	86077	0.387341658229272	MBRT_day2	48	Mutter_02	sld0005
sam0013	Fibroblast	46144	0.207645404432445	MBRT_day2	48	Mutter_02	sld0005
sam0013	Macrophages	42157	0.189704128698391	MBRT_day2	48	Mutter_02	sld0005
sam0013	unassigned	36138	0.162618967262909	MBRT_day2	48	Mutter_02	sld0005
sam0013	Adipocyte	3075	0.0138373270334121	MBRT_day2	48	Mutter_02	sld0005
sam0013	ILC	2962	0.0133288333895826	MBRT_day2	48	Mutter_02	sld0005
sam0013	Endothelial	2860	0.0128698391270109	MBRT_day2	48	Mutter_02	sld0005
sam0013	SmoothMuscle	1794	0.00807289908876139	MBRT_day2	48	Mutter_02	sld0005
sam0013	NK cells	351	0.00157948025649679	MBRT_day2	48	Mutter_02	sld0005
sam0013	T cells	300	0.00134998312521094	MBRT_day2	48	Mutter_02	sld0005
sam0013	DC	151	0.000679491506356171	MBRT_day2	48	Mutter_02	sld0005
sam0013	Mast cells	111	0.000499493756328046	MBRT_day2	48	Mutter_02	sld0005
sam0013	Epithelial cells	42	0.000188997637529531	MBRT_day2	48	Mutter_02	sld0005
sam0013	Neutrophils	37	0.000166497918776015	MBRT_day2	48	Mutter_02	sld0005
sam0013	Plasma cells	26	0.000116998537518281	MBRT_day2	48	Mutter_02	sld0005
sam0014	Tumor	227302	0.634728532374221	SBRT_day2	48	Mutter_02	sld0005
sam0014	Fibroblast	66120	0.184636521282626	SBRT_day2	48	Mutter_02	sld0005
sam0014	unassigned	25210	0.0703975605192832	SBRT_day2	48	Mutter_02	sld0005
sam0014	Macrophages	23191	0.0647596122968147	SBRT_day2	48	Mutter_02	sld0005
sam0014	Adipocyte	5055	0.0141158139002371	SBRT_day2	48	Mutter_02	sld0005
sam0014	Endothelial	4815	0.0134456268901368	SBRT_day2	48	Mutter_02	sld0005
sam0014	ILC	2800	0.00781884845116989	SBRT_day2	48	Mutter_02	sld0005
sam0014	SmoothMuscle	2353	0.00657062514485813	SBRT_day2	48	Mutter_02	sld0005
sam0014	T cells	561	0.0015665621361094	SBRT_day2	48	Mutter_02	sld0005
sam0014	NK cells	309	0.000862865775504106	SBRT_day2	48	Mutter_02	sld0005
sam0014	DC	164	0.000457961123568522	SBRT_day2	48	Mutter_02	sld0005
sam0014	Mast cells	122	0.000340678396800974	SBRT_day2	48	Mutter_02	sld0005
sam0014	Epithelial cells	47	0.000131244956144638	SBRT_day2	48	Mutter_02	sld0005
sam0014	Plasma cells	45	0.000125660064393802	SBRT_day2	48	Mutter_02	sld0005
sam0014	Neutrophils	15	4.18866881312673e-05	SBRT_day2	48	Mutter_02	sld0005
sam0015	Tumor	108046	0.492474725835711	Control	48	Mutter_02	sld0006
sam0015	unassigned	45934	0.209367621721651	Control	48	Mutter_02	sld0006
sam0015	Fibroblast	29395	0.133982697794835	Control	48	Mutter_02	sld0006
sam0015	Macrophages	16899	0.0770258074514344	Control	48	Mutter_02	sld0006
sam0015	T cells	8030	0.0366008186185584	Control	48	Mutter_02	sld0006
sam0015	Adipocyte	3935	0.0179357685260308	Control	48	Mutter_02	sld0006
sam0015	ILC	3088	0.0140751342333883	Control	48	Mutter_02	sld0006
sam0015	Endothelial	1880	0.00856905840633746	Control	48	Mutter_02	sld0006
sam0015	SmoothMuscle	1439	0.00655897608868064	Control	48	Mutter_02	sld0006
sam0015	DC	221	0.00100732016372371	Control	48	Mutter_02	sld0006
sam0015	NK cells	211	0.000961740065817661	Control	48	Mutter_02	sld0006
sam0015	Plasma cells	201	0.000916159967911611	Control	48	Mutter_02	sld0006
sam0015	Mast cells	60	0.000273480587436302	Control	48	Mutter_02	sld0006
sam0015	Neutrophils	33	0.000150414323089966	Control	48	Mutter_02	sld0006
sam0015	Epithelial cells	22	0.000100276215393311	Control	48	Mutter_02	sld0006
sam0016	Tumor	63012	0.394073759060407	MBRT_day2	48	Mutter_02	sld0006
sam0016	unassigned	35012	0.218963220532961	MBRT_day2	48	Mutter_02	sld0006
sam0016	Fibroblast	34832	0.217837509928142	MBRT_day2	48	Mutter_02	sld0006
sam0016	Macrophages	17550	0.109756783969881	MBRT_day2	48	Mutter_02	sld0006
sam0016	Adipocyte	2197	0.0137399233265999	MBRT_day2	48	Mutter_02	sld0006
sam0016	Endothelial	2133	0.0133396706671086	MBRT_day2	48	Mutter_02	sld0006
sam0016	SmoothMuscle	2129	0.0133146548758904	MBRT_day2	48	Mutter_02	sld0006
sam0016	ILC	1821	0.0113884389520885	MBRT_day2	48	Mutter_02	sld0006
sam0016	Epithelial cells	563	0.00352097261396256	MBRT_day2	48	Mutter_02	sld0006
sam0016	T cells	247	0.00154472510772425	MBRT_day2	48	Mutter_02	sld0006
sam0016	NK cells	189	0.00118199613506026	MBRT_day2	48	Mutter_02	sld0006
sam0016	Mast cells	97	0.000606632937041508	MBRT_day2	48	Mutter_02	sld0006
sam0016	DC	82	0.000512823719973233	MBRT_day2	48	Mutter_02	sld0006
sam0016	Plasma cells	20	0.000125078956091032	MBRT_day2	48	Mutter_02	sld0006
sam0016	Neutrophils	15	9.38092170682743e-05	MBRT_day2	48	Mutter_02	sld0006
sam0017	Tumor	61738	0.58582733949481	SBRT_day2	48	Mutter_02	sld0006
sam0017	Fibroblast	20145	0.191154422788606	SBRT_day2	48	Mutter_02	sld0006
sam0017	unassigned	9661	0.0916725181712941	SBRT_day2	48	Mutter_02	sld0006
sam0017	SmoothMuscle	5919	0.0561649554969351	SBRT_day2	48	Mutter_02	sld0006
sam0017	Macrophages	4842	0.04594538173951	SBRT_day2	48	Mutter_02	sld0006
sam0017	Adipocyte	1415	0.0134268308883533	SBRT_day2	48	Mutter_02	sld0006
sam0017	Endothelial	1120	0.0106275975936083	SBRT_day2	48	Mutter_02	sld0006
sam0017	ILC	267	0.00253354335490483	SBRT_day2	48	Mutter_02	sld0006
sam0017	T cells	89	0.000844514451634942	SBRT_day2	48	Mutter_02	sld0006
sam0017	DC	85	0.000806558745943484	SBRT_day2	48	Mutter_02	sld0006
sam0017	Epithelial cells	46	0.000436490615451768	SBRT_day2	48	Mutter_02	sld0006
sam0017	NK cells	41	0.000389045983337445	SBRT_day2	48	Mutter_02	sld0006
sam0017	Mast cells	12	0.000113867117074374	SBRT_day2	48	Mutter_02	sld0006
sam0017	Plasma cells	4	3.79557056914581e-05	SBRT_day2	48	Mutter_02	sld0006
sam0017	Neutrophils	2	1.8977852845729e-05	SBRT_day2	48	Mutter_02	sld0006
sam0018	Tumor	54203	0.621465752482286	Control	4	Mutter_02	sld0007
sam0018	Fibroblast	17079	0.195819670251554	Control	4	Mutter_02	sld0007
