sample_id	cell_type	pathway_name	pathway_source	tier	score_type	mean	sd	median	n_cells	condition	treatment	timepoint_h	dataset	slide_id	n_set_genes	n_panel_genes	panel_coverage_frac
sam0002	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	UCell	0.0356908741864494	0.0417171948768219	0.0420843776106934	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	36	19	0.5278
sam0003	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	UCell	0.0316302327580523	0.0384793577597226	0	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	36	19	0.5278
sam0004	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	UCell	0.0332090550128212	0.0394314933412684	0.0242272347535506	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	36	19	0.5278
sam0005	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	UCell	0.026664456367607	0.036310600423696	0	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	36	19	0.5278
sam0006	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	UCell	0.0336226197017883	0.0397715920641491	0.0348788638262322	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	36	19	0.5278
sam0007	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	UCell	0.0303706452968941	0.038350238033794	0	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	36	19	0.5278
sam0008	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	UCell	0.0260643760106704	0.0352155174345852	0	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	36	19	0.5278
sam0001	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	AMS	-0.0334985365234378	0.154581833921426	-0.0491409678766602	1393	Control	NT	0	Mutter_01	sld0002	199	37	0.1859
sam0002	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	AMS	-0.0293976342412681	0.160093721979656	-0.0476997472281095	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	199	37	0.1859
sam0003	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	AMS	-0.0340973223994177	0.16301133998351	-0.0513015303430164	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	199	37	0.1859
sam0004	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	AMS	-0.035156963273539	0.153520611158865	-0.0513378519481852	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	199	37	0.1859
sam0005	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	AMS	-0.038578483854767	0.150897534389508	-0.0588769986916113	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	199	37	0.1859
sam0006	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	AMS	-0.0320991484349145	0.164275760205727	-0.0508506807521729	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	199	37	0.1859
sam0007	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	AMS	-0.0408130373885344	0.155233261107244	-0.0617957290726538	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	199	37	0.1859
sam0008	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	AMS	-0.0364152226949701	0.152723129028453	-0.051318794532522	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	199	37	0.1859
sam0001	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	UCell	0.0346166200437557	0.0296126584489834	0.0277200277200277	1393	Control	NT	0	Mutter_01	sld0002	199	37	0.1859
sam0002	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	UCell	0.0348394684677871	0.0303759385012845	0.027951027951028	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	199	37	0.1859
sam0003	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	UCell	0.0344538036845728	0.0311379080499793	0.0276045276045276	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	199	37	0.1859
sam0004	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	UCell	0.0318604416721363	0.0293711477331328	0.0274890274890275	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	199	37	0.1859
sam0005	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	UCell	0.0298054550117366	0.0289442200531445	0.0272580272580273	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	199	37	0.1859
sam0006	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	UCell	0.0359815948051241	0.0318220216913281	0.027951027951028	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	199	37	0.1859
sam0007	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	UCell	0.0313496740248333	0.0302028998201402	0.0273735273735274	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	199	37	0.1859
sam0008	Adipocyte	HALLMARK_APICAL_JUNCTION	hallmark	exploratory	UCell	0.0303410281432259	0.0288306751286949	0.0274890274890275	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	199	37	0.1859
sam0001	Adipocyte	HALLMARK_APICAL_SURFACE	hallmark	exploratory	AMS	-0.049053737113622	0.297589666682625	-0.148948438391649	1393	Control	NT	0	Mutter_01	sld0002	44	10	0.2273
