avg_exp	pct_exp	marker	cell_subtype	avg_exp_scaled
3.48976560022236	3.54638349028251	S100a8	NK cells	-0.478394140316769
6.63627164134821	5.32959326788219	S100a9	NK cells	-0.424391284741403
2.10568559711142	2.40432779002204	Elane	NK cells	-1.21783725260057
1.21060459594216	0.6375	Epcam	T cells	-1.62832840061011
5.28028233034264	2.7625	Krt8	T cells	-1.50613076599856
2.56694657180385	1.3375	Krt18	T cells	-1.56102982180501
20.92141132145	6.525	Col1a1	T cells	-1.62683754954012
3.01978174580562	1.45	Pdgfra	T cells	-0.933240397701823
3.67699722662278	1.9	Acta2	T cells	-1.39355612842696
2.39542286729476	1.2375	Myh11	T cells	-1.10717148440837
3.72420441127182	1.9125	Tagln	T cells	-0.92147470547008
2.32064757519941	1.325	Pecam1	T cells	-0.35424856605089
4.63543516231645	2.4875	Cdh5	T cells	-0.506301871322517
3.57958473340009	1.9625	Cidea	T cells	-0.00610179883018805
6.54244014630434	3.1125	Fabp4	T cells	-0.474967733080003
49.346052042276	18.4	Cd3e	T cells	2.5
14.8658597199522	6.8375	Cd8a	T cells	1.70403448038967
1.46172848381756	0.75	Cd4	T cells	0.934362276038243
2.15403415084111	1.0875	Ncr1	T cells	-0.113791852658737
1.73690839690651	0.9125	Klrb1c	T cells	-0.00881096102111289
6.22625622394115	2.7875	Cd19	T cells	1.21862962897612
6.08935306371964	2.9125	Ms4a1	T cells	0.567730237877177
6.46150396304277	2.675	Mzb1	T cells	1.0700763352878
7.50137861709916	2.7625	Jchain	T cells	0.886490602331948
4.71607405537058	2.375	Itgam	T cells	-0.163882292292713
5.3630086222409	2.675	Itgax	T cells	0.292509791364115
2.52740302671444	1.3125	Cpa3	T cells	-0.310072999119902
3.14000447653563	1.675	Kit	T cells	-0.645711964101178
1.7441922463656	0.8375	S100a8	T cells	-0.910176248059732
5.45657727342327	2.1	S100a9	T cells	-0.574527432518033
2.5564164663613	1.3	Elane	T cells	-0.752798124468582
2.42424486947162	1.1	Epcam	Adipocyte	-0.446618434834228
21.138412178105	7.2625	Krt8	Adipocyte	-0.0536365702167302
10.1143247306022	4.0875	Krt18	Adipocyte	0.0418765945451468
75.6469540299598	15.0625	Col1a1	Adipocyte	0.780407208625264
9.6560018011993	3.3	Pdgfra	Adipocyte	0.707634581467351
8.20839231687328	2.8375	Acta2	Adipocyte	-0.063962924545556
3.80385917975543	1.4625	Myh11	Adipocyte	0.384900658639942
5.61416864134782	2.2125	Tagln	Adipocyte	0.0695564872975135
3.06091260073958	1.2625	Pecam1	Adipocyte	0.129166640962984
17.4455370020797	5.025	Cdh5	Adipocyte	1.44889614942415
5.72956173600662	2.2375	Cidea	Adipocyte	2.29861888436182
223.542791398075	26.375	Fabp4	Adipocyte	2.5
9.95495666887561	3.55	Cd3e	Adipocyte	-0.0652333412340285
3.67344762791794	1.35	Cd8a	Adipocyte	-0.228496625627163
1.38457730481548	0.45	Cd4	Adipocyte	0.818619757366595
2.86491146284935	1.1	Ncr1	Adipocyte	0.371444173241314
2.48674949904457	1	Klrb1c	Adipocyte	0.840315602677026
3.18669679523694	1.2875	Cd19	Adipocyte	0.143488839194843
4.15577467018113	1.5125	Ms4a1	Adipocyte	-0.142832294082144
2.40017616117923	0.8875	Mzb1	Adipocyte	-0.0455479998727851
1.96656335733013	0.7875	Jchain	Adipocyte	-0.240062426281586
6.55888190233439	2.35	Itgam	Adipocyte	0.458420216131458
4.4781968250947	1.7625	Itgax	Adipocyte	-0.00993726578568271
2.97850743909752	1.175	Cpa3	Adipocyte	-0.175834544995249
5.68573762740774	2.15	Kit	Adipocyte	0.237785136739104
5.02141619489446	1.7625	S100a8	Adipocyte	-0.220961665803395
8.61146483297014	2.2125	S100a9	Adipocyte	-0.218572998692467
4.48792097053314	1.8125	Elane	Adipocyte	0.735791990806696
2.76507182869003	2.1625	Epcam	Endothelial	-0.190393867390833
21.7933872375546	14.7375	Krt8	Endothelial	-0.0200233367197294
10.9732414266943	8.9875	Krt18	Endothelial	0.146862885441428
76.0577500212915	24.275	Col1a1	Endothelial	0.790686758496569
5.04906936444971	3.4125	Pdgfra	Endothelial	-0.245384662799097
32.4701623834901	13.7125	Acta2	Endothelial	2.46887231257468
5.51486038874282	3.725	Myh11	Endothelial	1.69497373531701
10.1837723626988	7.5375	Tagln	Endothelial	1.61640861346224
7.72320399747701	6.65	Pecam1	Endothelial	1.96575244474637
39.5791371511882	22.125	Cdh5	Endothelial	2.5
3.75439798668892	2.7375	Cidea	Endothelial	0.218212324521502
36.1568916872033	15.425	Fabp4	Endothelial	1.18408594197201
6.00355067222425	3.6375	Cd3e	Endothelial	-0.827156488703728
2.70571700929935	1.7	Cd8a	Endothelial	-0.59534312979885
0.825746816214037	0.65	Cd4	Endothelial	-0.15202213686173
1.50915400285613	0.9625	Ncr1	Endothelial	-0.659857025975346
1.23442214026692	0.9875	Klrb1c	Endothelial	-0.720141220437846
2.73323917938798	1.9375	Cd19	Endothelial	-0.0823220555667757
2.36365280800902	1.3875	Ms4a1	Endothelial	-1.09572473266306
1.32030930544471	1	Mzb1	Endothelial	-0.587975477977566
0.972124009719723	0.7125	Jchain	Endothelial	-0.676948046626617
3.40669032390816	2.3125	Itgam	Endothelial	-0.74324296178538
3.08007537455064	1.9625	Itgax	Endothelial	-0.605155316633869
1.47659368628536	0.975	Cpa3	Endothelial	-0.704582398555688
8.30441302461185	6.475	Kit	Endothelial	0.847046574715597
3.77714337886924	1.95	S100a8	Endothelial	-0.423980190022799
7.41882467254417	2.85	S100a9	Endothelial	-0.337105761566054
2.09651494427812	1.25	Elane	Endothelial	-1.2279851083613
2.51321223312651	0.85	Epcam	SmoothMuscle	-0.377355164478497
20.8917296027236	6.0875	Krt8	SmoothMuscle	-0.0665547555420663
7.2948854201589	2.3125	Krt18	SmoothMuscle	-0.370787932966703
28.9841457851194	6.0875	Col1a1	SmoothMuscle	-1.02451016306596
13.2445965022933	5.075	Pdgfra	SmoothMuscle	1.196170050796
11.7565241660305	2.575	Acta2	SmoothMuscle	0.57570837533832
4.77859498858896	1.4875	Myh11	SmoothMuscle	1.17929200501825
7.84903718605182	2.425	Tagln	SmoothMuscle	0.926825334440572
1.80455662517434	0.6375	Pecam1	SmoothMuscle	-0.759995728058092
7.38773078205737	2.35	Cdh5	SmoothMuscle	0.149464525706869
4.53887067809242	1.7125	Cidea	SmoothMuscle	1.13267493423826
14.3647327119573	3.15	Fabp4	SmoothMuscle	0.265319660250733
8.13326322351738	2.4125	Cd3e	SmoothMuscle	-0.374974056108711
2.22437653639871	0.8625	Cd8a	SmoothMuscle	-0.815332425594217
1.01108066122709	0.275	Cd4	SmoothMuscle	0.199412906046215
1.81958775960693	0.6625	Ncr1	SmoothMuscle	-0.381389231407752
2.33299809696632	0.8	Klrb1c	SmoothMuscle	0.682169485424124
2.10314229956822	0.7375	Cd19	SmoothMuscle	-0.446463397830201
3.40774166651134	1.0875	Ms4a1	SmoothMuscle	-0.492572692303628
2.23385989610139	0.8625	Mzb1	SmoothMuscle	-0.116736878255635
1.15657732478024	0.475	Jchain	SmoothMuscle	-0.581275359009588
3.36804810412019	1.3375	Itgam	SmoothMuscle	-0.762857225544846
3.35145463831478	1.05	Itgax	SmoothMuscle	-0.475077146632892
2.10919081672497	0.675	Cpa3	SmoothMuscle	-0.450841945991897
4.41304244235557	1.4125	Kit	SmoothMuscle	-0.15147375241336
2.26364691688887	0.825	S100a8	SmoothMuscle	-0.758132765894783
5.82575482100512	1.2625	S100a9	SmoothMuscle	-0.524780088795837
2.88176839314983	1.0375	Elane	SmoothMuscle	-0.452409737997525
