sample_id	cell_type	condition	slide_id	n_cells	total_counts	mean_libsize	frac_genes_with_count_gt_5
sam0002	Neutrophils	MBRT_1h	sld0004	2	297	148.5	0.0032
sam0003	Neutrophils	MBRT_4h	sld0004	8	719	89.9	0.0137
sam0004	Neutrophils	MBRT_day2	sld0001	23	1875	81.5	0.0674
sam0005	Neutrophils	MBRT_day6	sld0001	23	2510	109.1	0.0832
sam0006	Neutrophils	SBRT_4h	sld0004	3	434	144.7	0.0042
sam0007	Neutrophils	SBRT_day2	sld0002	3	173	57.7	0.0032
sam0008	Neutrophils	SBRT_day6	sld0002	14	1082	77.3	0.0211
sam0012	Neutrophils	Control	sld0005	18	1382	76.8	0.0568
sam0013	Neutrophils	MBRT_day2	sld0005	37	4190	113.2	0.1789
sam0014	Neutrophils	SBRT_day2	sld0005	15	2252	150.1	0.0695
sam0015	Neutrophils	Control	sld0006	33	4105	124.4	0.1484
sam0016	Neutrophils	MBRT_day2	sld0006	15	1780	118.7	0.0558
sam0017	Neutrophils	SBRT_day2	sld0006	2	138	69	0.0042
sam0018	Neutrophils	Control	sld0007	6	803	133.8	0.0274
sam0019	Neutrophils	MBRT_4h	sld0007	4	509	127.2	0.0147
sam0020	Neutrophils	SBRT_4h	sld0007	10	1363	136.3	0.0516
sam0021	Neutrophils	Control	sld0008	4	592	148	0.0179
sam0022	Neutrophils	MBRT_4h	sld0008	13	1474	113.4	0.0547
sam0023	Neutrophils	SBRT_4h	sld0008	13	1533	117.9	0.0632
sam0001	Plasma cells	Control	sld0002	108	12143	112.4	0.7589
sam0002	Plasma cells	MBRT_1h	sld0004	24	3101	129.2	0.1579
sam0003	Plasma cells	MBRT_4h	sld0004	95	9839	103.6	0.6947
sam0004	Plasma cells	MBRT_day2	sld0001	135	17300	128.1	0.7547
sam0005	Plasma cells	MBRT_day6	sld0001	2053	203356	99.1	1
sam0006	Plasma cells	SBRT_4h	sld0004	140	14518	103.7	0.8663
sam0007	Plasma cells	SBRT_day2	sld0002	70	6449	92.1	0.4747
sam0008	Plasma cells	SBRT_day6	sld0002	437	46906	107.3	0.9916
sam0012	Plasma cells	Control	sld0005	23	2655	115.4	0.1116
sam0013	Plasma cells	MBRT_day2	sld0005	26	3395	130.6	0.1463
sam0014	Plasma cells	SBRT_day2	sld0005	45	7375	163.9	0.3126
sam0015	Plasma cells	Control	sld0006	201	24900	123.9	0.6516
sam0016	Plasma cells	MBRT_day2	sld0006	20	2241	112	0.1011
sam0017	Plasma cells	SBRT_day2	sld0006	4	447	111.8	0.0074
sam0018	Plasma cells	Control	sld0007	18	2245	124.7	0.0905
sam0019	Plasma cells	MBRT_4h	sld0007	26	3498	134.5	0.1842
sam0020	Plasma cells	SBRT_4h	sld0007	11	1097	99.7	0.0274
sam0021	Plasma cells	Control	sld0008	47	5530	117.7	0.3168
sam0022	Plasma cells	MBRT_4h	sld0008	44	4897	111.3	0.2663
sam0023	Plasma cells	SBRT_4h	sld0008	46	7290	158.5	0.3011
sam0001	SmoothMuscle	Control	sld0002	2198	91424	41.6	1
sam0002	SmoothMuscle	MBRT_1h	sld0004	7253	330499	45.6	1
sam0003	SmoothMuscle	MBRT_4h	sld0004	1698	58425	34.4	0.9989
sam0004	SmoothMuscle	MBRT_day2	sld0001	1629	56499	34.7	0.9989
sam0005	SmoothMuscle	MBRT_day6	sld0001	2096	68830	32.8	1
sam0006	SmoothMuscle	SBRT_4h	sld0004	1811	64615	35.7	0.9989
sam0007	SmoothMuscle	SBRT_day2	sld0002	998	33074	33.1	0.9842
sam0008	SmoothMuscle	SBRT_day6	sld0002	1546	51715	33.5	1
sam0012	SmoothMuscle	Control	sld0005	1205	46240	38.4	0.8547
sam0013	SmoothMuscle	MBRT_day2	sld0005	1794	66243	36.9	0.9179
sam0014	SmoothMuscle	SBRT_day2	sld0005	2353	105552	44.9	0.9337
sam0015	SmoothMuscle	Control	sld0006	1439	55880	38.8	0.8621
sam0016	SmoothMuscle	MBRT_day2	sld0006	2129	75120	35.3	0.9021
sam0017	SmoothMuscle	SBRT_day2	sld0006	5919	319451	54	0.9716
sam0018	SmoothMuscle	Control	sld0007	4198	184863	44	0.9758
sam0019	SmoothMuscle	MBRT_4h	sld0007	9218	441964	47.9	0.9989
sam0020	SmoothMuscle	SBRT_4h	sld0007	3471	167572	48.3	0.9621
sam0021	SmoothMuscle	Control	sld0008	15365	836915	54.5	1
sam0022	SmoothMuscle	MBRT_4h	sld0008	3371	124328	36.9	0.9716
sam0023	SmoothMuscle	SBRT_4h	sld0008	2433	124547	51.2	0.9453
sam0001	T cells	Control	sld0002	177	10412	58.8	0.6179
sam0002	T cells	MBRT_1h	sld0004	49	2737	55.9	0.1253
sam0003	T cells	MBRT_4h	sld0004	180	9486	52.7	0.6084
sam0004	T cells	MBRT_day2	sld0001	180	10048	55.8	0.5674
sam0005	T cells	MBRT_day6	sld0001	2798	135800	48.5	1
