cell_type	pathway_name	dataset	pearson_r	n_samples
Macrophages	HALLMARK_COMPLEMENT	Mutter_01	0.9942	8
Macrophages	HALLMARK_DNA_REPAIR	Mutter_01	0.9329	8
Macrophages	HALLMARK_E2F_TARGETS	Mutter_01	0.9352	8
Macrophages	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_TGF_BETA_SIGNALING	Mutter_01	0.9992	8
Macrophages	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.9963	8
Macrophages	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.987	8
Macrophages	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.8932	8
Macrophages	HALLMARK_G2M_CHECKPOINT	Mutter_01	0.9577	8
Macrophages	HALLMARK_GLYCOLYSIS	Mutter_01	0.5225	8
Macrophages	HALLMARK_HEDGEHOG_SIGNALING	Mutter_01	0.9532	8
