cell_type	pathway_name	dataset	pearson_r	n_samples
Endothelial	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.8671	8
Endothelial	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.8929	8
Endothelial	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.9816	8
Endothelial	HALLMARK_G2M_CHECKPOINT	Mutter_01	0.4017	8
Endothelial	HALLMARK_GLYCOLYSIS	Mutter_01	0.9444	8
Endothelial	HALLMARK_HEDGEHOG_SIGNALING	Mutter_01	0.9637	8
Endothelial	HALLMARK_HEME_METABOLISM	Mutter_01	0.625	8
Endothelial	HALLMARK_HYPOXIA	Mutter_01	0.8882	8
Endothelial	HALLMARK_IL2_STAT5_SIGNALING	Mutter_01	0.9899	8
Endothelial	HALLMARK_IL6_JAK_STAT3_SIGNALING	Mutter_01	0.9945	8
Endothelial	HALLMARK_INFLAMMATORY_RESPONSE	Mutter_01	0.9895	8
Endothelial	HALLMARK_INTERFERON_ALPHA_RESPONSE	Mutter_01	0.7862	8
Endothelial	HALLMARK_INTERFERON_GAMMA_RESPONSE	Mutter_01	0.957	8
Endothelial	HALLMARK_KRAS_SIGNALING_DN	Mutter_01	0.8029	8
Endothelial	HALLMARK_KRAS_SIGNALING_UP	Mutter_01	0.9341	8
Endothelial	HALLMARK_MITOTIC_SPINDLE	Mutter_01	0.9335	8
Endothelial	HALLMARK_MTORC1_SIGNALING	Mutter_01	0.9747	8
Endothelial	HALLMARK_MYC_TARGETS_V1	Mutter_01	0.8613	8
Endothelial	HALLMARK_MYC_TARGETS_V2	Mutter_01	0.9939	8
Endothelial	HALLMARK_MYOGENESIS	Mutter_01	0.9968	8
Endothelial	HALLMARK_NOTCH_SIGNALING	Mutter_01	0.8493	8
Endothelial	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Mutter_01	0.7749	8
Endothelial	HALLMARK_P53_PATHWAY	Mutter_01	0.933	8
Endothelial	HALLMARK_PANCREAS_BETA_CELLS	Mutter_01	0.5863	8
Endothelial	HALLMARK_PEROXISOME	Mutter_01	0.9733	8
Endothelial	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Mutter_01	0.9433	8
Endothelial	HALLMARK_PROTEIN_SECRETION	Mutter_01	0.2238	8
Endothelial	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Mutter_01	0.9871	8
Endothelial	HALLMARK_SPERMATOGENESIS	Mutter_01	0.5826	8
Endothelial	HALLMARK_TGF_BETA_SIGNALING	Mutter_01	0.9905	8
Endothelial	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mutter_01	0.908	8
Endothelial	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mutter_01	-0.3724	8
Endothelial	HALLMARK_UV_RESPONSE_DN	Mutter_01	0.9971	8
Endothelial	HALLMARK_UV_RESPONSE_UP	Mutter_01	0.8033	8
Endothelial	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Mutter_01	0.7894	8
Endothelial	HALLMARK_XENOBIOTIC_METABOLISM	Mutter_01	0.9929	8
Endothelial	STING	Mutter_01	0.9583	8
Endothelial	TypeII_interferon	Mutter_01	0.9212	8
Endothelial	TypeI_interferon	Mutter_01	0.6348	8
Epithelial cells	DNA_Damage_Repair	Mutter_01	0.9566	8
Epithelial cells	HALLMARK_ADIPOGENESIS	Mutter_01	0.8986	8
Epithelial cells	HALLMARK_ALLOGRAFT_REJECTION	Mutter_01	0.9592	8
Epithelial cells	HALLMARK_ANDROGEN_RESPONSE	Mutter_01	0.8982	8
Epithelial cells	HALLMARK_ANGIOGENESIS	Mutter_01	0.9865	8
Epithelial cells	HALLMARK_APICAL_JUNCTION	Mutter_01	0.9212	8
Epithelial cells	HALLMARK_APICAL_SURFACE	Mutter_01	0.9962	8
Epithelial cells	HALLMARK_APOPTOSIS	Mutter_01	0.974	8
Epithelial cells	HALLMARK_BILE_ACID_METABOLISM	Mutter_01	0.9696	8
Epithelial cells	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Mutter_01	0.9152	8
Epithelial cells	HALLMARK_COAGULATION	Mutter_01	0.9261	8
Epithelial cells	HALLMARK_COMPLEMENT	Mutter_01	0.9881	8
Epithelial cells	HALLMARK_DNA_REPAIR	Mutter_01	0.9837	8
Epithelial cells	HALLMARK_E2F_TARGETS	Mutter_01	0.9415	8
Epithelial cells	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Mutter_01	0.9982	8
Epithelial cells	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.988	8
Epithelial cells	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.9848	8
Epithelial cells	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.9107	8
Epithelial cells	HALLMARK_G2M_CHECKPOINT	Mutter_01	0.9854	8
Epithelial cells	HALLMARK_GLYCOLYSIS	Mutter_01	0.943	8
Epithelial cells	HALLMARK_HEDGEHOG_SIGNALING	Mutter_01	0.9863	8
Epithelial cells	HALLMARK_HEME_METABOLISM	Mutter_01	0.9803	8
Epithelial cells	HALLMARK_HYPOXIA	Mutter_01	0.9929	8
Epithelial cells	HALLMARK_IL2_STAT5_SIGNALING	Mutter_01	0.9896	8
Epithelial cells	HALLMARK_IL6_JAK_STAT3_SIGNALING	Mutter_01	0.9869	8
Epithelial cells	HALLMARK_INFLAMMATORY_RESPONSE	Mutter_01	0.9823	8
Epithelial cells	HALLMARK_INTERFERON_ALPHA_RESPONSE	Mutter_01	0.8677	8
Epithelial cells	HALLMARK_INTERFERON_GAMMA_RESPONSE	Mutter_01	0.9933	8
Epithelial cells	HALLMARK_KRAS_SIGNALING_DN	Mutter_01	0.9343	8
Epithelial cells	HALLMARK_KRAS_SIGNALING_UP	Mutter_01	0.9691	8
Epithelial cells	HALLMARK_MITOTIC_SPINDLE	Mutter_01	0.947	8
Epithelial cells	HALLMARK_MTORC1_SIGNALING	Mutter_01	0.8974	8
Epithelial cells	HALLMARK_MYC_TARGETS_V1	Mutter_01	0.7941	8
Epithelial cells	HALLMARK_MYC_TARGETS_V2	Mutter_01	0.8719	8
Epithelial cells	HALLMARK_MYOGENESIS	Mutter_01	0.9586	8
Epithelial cells	HALLMARK_NOTCH_SIGNALING	Mutter_01	0.9636	8
Epithelial cells	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Mutter_01	0.8731	8
Epithelial cells	HALLMARK_P53_PATHWAY	Mutter_01	0.9917	8
Epithelial cells	HALLMARK_PANCREAS_BETA_CELLS	Mutter_01	0.6904	8
Epithelial cells	HALLMARK_PEROXISOME	Mutter_01	0.9787	8
Epithelial cells	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Mutter_01	0.9362	8
Epithelial cells	HALLMARK_PROTEIN_SECRETION	Mutter_01	0.9802	8
Epithelial cells	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Mutter_01	0.9917	8
Epithelial cells	HALLMARK_SPERMATOGENESIS	Mutter_01	0.945	8
Epithelial cells	HALLMARK_TGF_BETA_SIGNALING	Mutter_01	0.9614	8
Epithelial cells	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mutter_01	0.9507	8
Epithelial cells	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mutter_01	0.879	8
Epithelial cells	HALLMARK_UV_RESPONSE_DN	Mutter_01	0.9707	8
Epithelial cells	HALLMARK_UV_RESPONSE_UP	Mutter_01	0.9777	8
Epithelial cells	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Mutter_01	0.9916	8
Epithelial cells	HALLMARK_XENOBIOTIC_METABOLISM	Mutter_01	0.9953	8
Epithelial cells	STING	Mutter_01	0.9962	8
