subcluster	n_cells	frac	frac_M01	frac_M02	minority_frac	neg_mean
478	493	0.0004	0.5781	0.4219	0.4219	0.011
479	492	0.0004	0.3049	0.6951	0.3049	0.0069
480	491	0.0004	0.2118	0.7882	0.2118	0.0049
481	486	0.0004	0.4012	0.5988	0.4012	0.0117
482	485	0.0004	0.6495	0.3505	0.3505	0.0134
483	484	0.0004	0.3636	0.6364	0.3636	0.006
484	483	0.0004	0.2195	0.7805	0.2195	0.0068
485	473	0.0004	0.5095	0.4905	0.4905	0.0085
486	472	0.0004	0.5593	0.4407	0.4407	0.011
487	469	0.0004	0.4414	0.5586	0.4414	0.0077
488	469	0.0004	0.2516	0.7484	0.2516	0.0066
489	467	0.0004	0.5268	0.4732	0.4732	0.0066
490	467	0.0004	0.2934	0.7066	0.2934	0.0109
491	465	0.0003	0.6667	0.3333	0.3333	0.0099
492	463	0.0003	0.5054	0.4946	0.4946	0.0104
493	461	0.0003	0.4599	0.5401	0.4599	0.0104
494	461	0.0003	0.4187	0.5813	0.4187	0.0087
495	457	0.0003	0.5558	0.4442	0.4442	0.0074
496	456	0.0003	0.3969	0.6031	0.3969	0.007
497	451	0.0003	0.5211	0.4789	0.4789	0.0067
498	447	0.0003	0.604	0.396	0.396	0.0101
499	441	0.0003	0.2676	0.7324	0.2676	0.0059
500	440	0.0003	0.4568	0.5432	0.4568	0.0082
501	439	0.0003	0.5011	0.4989	0.4989	0.0084
502	429	0.0003	0.5618	0.4382	0.4382	0.0105
503	427	0.0003	0.3958	0.6042	0.3958	0.0068
504	414	0.0003	0.4662	0.5338	0.4662	0.0094
505	406	0.0003	0.431	0.569	0.431	0.0086
506	405	0.0003	0.3827	0.6173	0.3827	0.0094
507	403	0.0003	0.2407	0.7593	0.2407	0.0067
508	395	0.0003	0.5139	0.4861	0.4861	0.0084
509	387	0.0003	0.5581	0.4419	0.4419	0.0083
510	387	0.0003	0.4677	0.5323	0.4677	0.0083
511	387	0.0003	0.4419	0.5581	0.4419	0.0106
512	373	0.0003	0.4531	0.5469	0.4531	0.0094
513	357	0.0003	0.2997	0.7003	0.2997	0.0048
514	346	0.0003	0.5462	0.4538	0.4538	0.0139
515	344	0.0003	0.3866	0.6134	0.3866	0.0058
516	340	0.0003	0.5588	0.4412	0.4412	0.01
517	326	0.0002	0.635	0.365	0.365	0.0101
518	315	0.0002	0.1905	0.8095	0.1905	0.0051
519	311	0.0002	0.4823	0.5177	0.4823	0.008
520	296	0.0002	0.5574	0.4426	0.4426	0.0084
521	293	0.0002	0.5836	0.4164	0.4164	0.0123
522	286	0.0002	0.4336	0.5664	0.4336	0.0052
523	279	0.0002	0.4086	0.5914	0.4086	0.0104
524	278	0.0002	0.2878	0.7122	0.2878	0.0058
525	271	0.0002	0.417	0.583	0.417	0.0052
526	269	0.0002	0.6134	0.3866	0.3866	0.01
527	267	0.0002	0.5655	0.4345	0.4345	0.0127
528	263	0.0002	0.5703	0.4297	0.4297	0.0103
