sample_id	cell_type	pathway_name	pathway_source	tier	score_type	mean	sd	median	n_cells	condition	timepoint_h	dataset	slide_id	n_set_genes	n_panel_genes	panel_coverage_frac
sam0004	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	AMS	0.13000458058091	0.324270690069425	0.101764942241894	3027	MBRT_day2	48	Mutter_01	sld0001	112	17	0.1518
sam0005	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	AMS	0.0628305289840013	0.299208345906217	0.0436926153449418	3757	MBRT_day6	144	Mutter_01	sld0001	112	17	0.1518
sam0006	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	AMS	0.0761911999423194	0.323489089824816	0.04994502818794	2618	SBRT_4h	4	Mutter_01	sld0004	112	17	0.1518
sam0007	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	AMS	0.116476685335787	0.327486593692957	0.0920946942706195	1570	SBRT_day2	48	Mutter_01	sld0002	112	17	0.1518
sam0008	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	AMS	0.0731335506360963	0.295988068191719	0.0542935008116117	3185	SBRT_day6	144	Mutter_01	sld0002	112	17	0.1518
sam0001	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	UCell	0.523123772175338	0.0319804182932151	0.518534725260986	1393	Control	0	Mutter_01	sld0002	112	17	0.1518
sam0002	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	UCell	0.518137296392041	0.0299256423392479	0.515237231980997	678	MBRT_1h	1	Mutter_01	sld0004	112	17	0.1518
sam0003	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	UCell	0.522343808178653	0.030939118155312	0.518909795586673	3003	MBRT_4h	4	Mutter_01	sld0004	112	17	0.1518
sam0004	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	UCell	0.523562375494134	0.0304484489590076	0.519503656935676	3027	MBRT_day2	48	Mutter_01	sld0001	112	17	0.1518
sam0005	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	UCell	0.514655021904975	0.0272215749096977	0.514190160655123	3757	MBRT_day6	144	Mutter_01	sld0001	112	17	0.1518
sam0006	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	exploratory	UCell	0.518381120256839	0.0302339212148063	0.515706069888104	2618	SBRT_4h	4	Mutter_01	sld0004	112	17	0.1518
