cluster	n_cells	frac	top_lineage	compartment	frac_M01	frac_M02	minority_frac	neg_mean	signal_to_bg
29	12643	0.0039	Fibroblast	stroma	0.5349	0.4651	0.4651	0.0113	21.29
30	11517	0.0035	Fibroblast	stroma	0.5684	0.4316	0.4316	0.0092	18.63
31	11415	0.0035	Fibroblast	stroma	0.3338	0.6662	0.3338	0.007	44.18
32	9311	0.0028	Fibroblast	stroma	0.3095	0.6905	0.3095	0.0077	42.72
33	7930	0.0024	Fibroblast	stroma	0.286	0.714	0.286	0.0074	41.83
34	7572	0.0023	Epithelial	tumor	0.1817	0.8183	0.1817	0.0088	32.58
35	7546	0.0023	Fibroblast	stroma	0.22	0.78	0.22	0.0066	40.89
36	7079	0.0022	Epithelial	tumor	0.2763	0.7237	0.2763	0.0145	28.76
37	6455	0.002	Epithelial	tumor	0.4101	0.5899	0.4101	0.0142	20.65
38	5978	0.0018	Epithelial	tumor	0.1863	0.8137	0.1863	0.0142	27.91
39	4841	0.0015	Fibroblast	stroma	0.1801	0.8199	0.1801	0.0084	36.05
40	4838	0.0015	Fibroblast	stroma	0.4363	0.5637	0.4363	0.0081	30.55
41	4732	0.0014	Epithelial	tumor	0.257	0.743	0.257	0.014	28.59
42	4463	0.0014	Epithelial	tumor	0.2899	0.7101	0.2899	0.0156	28.23
43	4458	0.0014	Fibroblast	stroma	0.4881	0.5119	0.4881	0.0116	19.59
44	3709	0.0011	Fibroblast	stroma	0.5109	0.4891	0.4891	0.0108	19.18
45	3352	0.001	Fibroblast	stroma	0.4078	0.5922	0.4078	0.01	28.52
46	3159	0.001	Epithelial	tumor	0.1504	0.8496	0.1504	0.0081	31.33
47	3075	0.0009	Epithelial	tumor	0.1746	0.8254	0.1746	0.0173	26.14
48	3033	0.0009	Fibroblast	stroma	0.512	0.488	0.488	0.0118	22.25
49	2903	0.0009	Fibroblast	stroma	0.2687	0.7313	0.2687	0.0079	23.77
50	2287	0.0007	Fibroblast	stroma	0.4368	0.5632	0.4368	0.0104	21.33
51	2286	0.0007	Fibroblast	stroma	0.3692	0.6308	0.3692	0.0099	12.57
52	2266	0.0007	Fibroblast	stroma	0.4303	0.5697	0.4303	0.0089	26.12
53	2188	0.0007	Fibroblast	stroma	0.4159	0.5841	0.4159	0.0097	31.03
54	2094	0.0006	Fibroblast	stroma	0.3548	0.6452	0.3548	0.0077	29.9
55	2074	0.0006	Fibroblast	stroma	0.203	0.797	0.203	0.008	22.46
56	2042	0.0006	Fibroblast	stroma	0.4505	0.5495	0.4505	0.0098	28.67
57	2031	0.0006	Fibroblast	stroma	0.3535	0.6465	0.3535	0.0084	29.79
58	1821	0.0006	Fibroblast	stroma	0.4673	0.5327	0.4673	0.0082	16.64
59	1767	0.0005	Epithelial	tumor	0.2479	0.7521	0.2479	0.0146	29.54
60	1620	0.0005	Macrophage	immune	0.4815	0.5185	0.4815	0.0112	10.54
61	1602	0.0005	Fibroblast	stroma	0.3708	0.6292	0.3708	0.0081	14.64
62	1433	0.0004	Fibroblast	stroma	0.3873	0.6127	0.3873	0.0119	17.16
63	1401	0.0004	Fibroblast	stroma	0.2869	0.7131	0.2869	0.0086	28.06
64	1385	0.0004	Fibroblast	stroma	0.2224	0.7776	0.2224	0.0079	13.57
65	1313	0.0004	Mast	immune	0.1455	0.8545	0.1455	0.0159	189.34
66	1286	0.0004	Fibroblast	stroma	0.465	0.535	0.465	0.0103	17.26
67	1269	0.0004	Neutrophil	immune	0.2884	0.7116	0.2884	0.0104	11.37
68	1179	0.0004	Fibroblast	stroma	0.5776	0.4224	0.4224	0.011	22.95
69	1126	0.0003	Plasma	immune	0.5311	0.4689	0.4689	0.0084	30.38
70	1091	0.0003	Fibroblast	stroma	0.3841	0.6159	0.3841	0.0114	21.31
71	980	0.0003	Fibroblast	stroma	0.2112	0.7888	0.2112	0.0115	37.16
72	941	0.0003	Fibroblast	stroma	0.577	0.423	0.423	0.0099	22.56
73	907	0.0003	Epithelial	tumor	0.1643	0.8357	0.1643	0.0116	30.33
74	868	0.0003	Epithelial	tumor	0.5127	0.4873	0.4873	0.0124	16.85
75	858	0.0003	Fibroblast	stroma	0.1993	0.8007	0.1993	0.0059	27.94
76	853	0.0003	Macrophage	immune	0.5111	0.4889	0.4889	0.011	8.98
77	826	0.0003	Fibroblast	stroma	0.4249	0.5751	0.4249	0.0092	18.2
78	822	0.0003	Epithelial	tumor	0.2384	0.7616	0.2384	0.0102	28.85
79	794	0.0002	Fibroblast	stroma	0.3413	0.6587	0.3413	0.0096	23.09
80	768	0.0002	Fibroblast	stroma	0.3568	0.6432	0.3568	0.0086	22.83
81	665	0.0002	Epithelial	tumor	0.1474	0.8526	0.1474	0.0104	26.74
82	621	0.0002	Fibroblast	stroma	0.2705	0.7295	0.2705	0.0103	31.92
83	608	0.0002	Fibroblast	stroma	0.4852	0.5148	0.4852	0.0107	13.45
84	533	0.0002	Macrophage	immune	0.3659	0.6341	0.3659	0.0105	9.96
85	517	0.0002	Fibroblast	stroma	0.4526	0.5474	0.4526	0.0126	25.26
86	437	0.0001	Epithelial	tumor	0.1899	0.8101	0.1899	0.0092	25.25
87	390	0.0001	Fibroblast	stroma	0.3	0.7	0.3	0.0092	35.97
88	345	0.0001	Epithelial	tumor	0.2174	0.7826	0.2174	0.0168	35.17
89	4	0.0	Fibroblast	stroma	0.75	0.25	0.25	0.0	325000.0
