"","a","b","B.cell","Blood.endothelial","BM.Neutrophil","CD8.T.cell","Colon.Treg.Nrplo","Dendritic","DN2a","DN2b","DN3","DN4","Fibroblastic.reticular","GC_centroblasts","GC_centrocyes","gdT","ILC","ISP","Ly6Chi.blood.monocytes","Ly6Clo.blood.monocytes","Lymphatic.endothelial","Macrophage","Memory.B","Microglia","NK","NKT","PerC.macrophage","Pericyte","Plasma","Plasmablast","small.peritoneal.macs","Spleen.CD4Act.48hrs","Spleen.LN.Naive.CD4","Spleen.Naive.CD4","Spleen.Naive.CD8","spleen.red.pulp.macs","Spleen.Treg","Stem.Prog","Thio.induced.Peritoneal.Neutrophil","Thymic.4.8.CD3lo.DP","Thymic.CD4SP","Thymic.CD8SP","Thymic.preT.DN1","tumor_epithelial"
"Cxcr5",0.0903876844892359,0.0282476686185209,0.0336409645727895,0.0464743085491331,0.0616102110947472,0.0322749671118643,0.0353679406731318,0.0556981132075472,0.0466830466830467,0.0075,0.0285433070866142,0.0203094777562863,0.0370057859209257,0.0369774919614148,0.0567010309278351,0.0430288934023455,0.0568968428161405,0.021505376344086,0.0422052811843995,0.0881634078212291,0.0531297053129705,0.0290729110343967,0.0539609644087256,0.0498677248677249,0.0218295218295218,0.06758669497523,0.0452726017943409,0.0434986700046941,0.0530338119499768,0.0361216730038023,0.0408403691341056,0.109424083769634,0.0169971671388102,0.0274952320406866,0,0.0717012092890522,0.0743285446595878,0.0511351113070311,0.0387947269303201,0.056778001811753,0.0505535826195947,0.0682447746159657,0.0588586972767764,0.113724634972065
"Cxcr6",0.156063118815103,0.0263500325309044,0.0480797856504912,0.0539945250306787,0.0959744722631321,0.0528105420410711,0.0867084997147747,0.112201257861635,0.0122850122850123,0.035,0.0226377952755906,0.0106382978723404,0.0377591610414658,0.0819935691318328,0.0682989690721649,0.109644237699011,0.116495019415837,0.0913978494623656,0.0677273229477406,0.157515712290503,0.0859683085968309,0.0485796281662022,0.0552730851238314,0.062037037037037,0.0332640332640333,0.3890175641768,0.0875776397515528,0.0837114692536379,0.109773043075498,0.0893536121673004,0.0555664637738072,0.0706806282722513,0.0198300283286119,0.0265416401780038,0.140625,0.122462811686227,0.0455965021861337,0.0941839321137315,0.0429378531073446,0.0735513281318489,0.0662210152496344,0.149584487534626,0.138522703494455,0.202930608345276
"Cyp1b1",0.0706611021580261,0.0239102147039688,0.0134712712116701,0.0335105880872219,0.0525282277859597,0.0199447033378671,0.0236737022247576,0.0323522012578616,0.027027027027027,0.005,0.0147637795275591,0.00773694390715667,0.0524951783992285,0.00964630225080386,0.0193298969072165,0.0262563060997183,0.0401148066858011,0.0268817204301075,0.0182300298309579,0.042292248603352,0.0523410052341005,0.0235827475772574,0.0390355912743972,0.0201058201058201,0.0218295218295218,0.0362864311908898,0.0271911663216011,0.0313918009701142,0.0317276516905975,0.0247148288973384,0.0202238366385235,0.0230366492146597,0.0396600566572238,0.0170057215511761,0.0078125,0.0344950593942853,0.0306058713304185,0.0432830063918889,0.0259887005649717,0.0473101312059846,0.0225611029872572,0.0138504155124654,0.0431351448300601,0.088395954057366
"Cyp2u1",0.109656054006628,0.0308501409672522,0.0375111640369157,0.0439256159340486,0.0652920962199313,0.0532341858235412,0.0678836280661723,0.0530817610062893,0.0761670761670762,0.0475,0.0255905511811024,0.0319148936170213,0.0489693828351013,0.045016077170418,0.0670103092783505,0.0463047893598899,0.056559176093196,0.00537634408602151,0.0369019997790299,0.0663989757914339,0.0841041084104108,0.04579295429023,0.035919304576021,0.0477513227513228,0.0187110187110187,0.0503442063951618,0.0447895100069013,0.0403301517759349,0.0428439092172302,0.0430925221799747,0.0433928922049872,0.0455497382198953,0.0084985835694051,0.0327399872854418,0.0078125,0.0557557164770092,0.0368519675202998,0.0677760634780692,0.0357815442561205,0.0805937874404605,0.0522247754334656,0.0493578443716948,0.0676770394284519,0.137962905269279
"Cystm1",0.14023915584703,0.0270548687920191,0.04398630544805,0.0516031591202291,0.0504418262150221,0.11465138576111,0.0718767826583001,0.0608301886792453,0.0294840294840295,0.0425,0.0275590551181102,0.0725338491295938,0.0448710221793635,0.0289389067524116,0.0554123711340206,0.0892190264037214,0.0620293770048962,0.010752688172043,0.0857363827201414,0.070719855679702,0.110418011041801,0.0786507507382606,0.0224700672461867,0.0345238095238095,0.0426195426195426,0.0521134916039375,0.0740510697032436,0.0553512752307933,0.0433070866141732,0.0640050697084918,0.0331827999214608,0.0455497382198953,0.0113314447592068,0.195168467895741,0.0703125,0.0779081796454179,0.0512179887570269,0.0947625082653736,0.0613935969868173,0.0736389936004208,0.0747858784207228,0.0483505414253337,0.0721310495321795,0.20595260348516
"Dcn",0.0884298661029261,0.0644111906310995,0.0312593033640965,0.0656052358327302,0.0914334806087383,0.0739592856028005,0.0233884768967484,0.0507672955974843,0.0196560196560197,0.005,0.172244094488189,0.0328820116054159,0.847245660559306,0.0112540192926045,0.0219072164948454,0.0353960558212671,0.0936012156002026,0.0645161290322581,0.0336979339299525,0.0496973929236499,0.0671829067182907,0.0689597803934617,0.0470723306544202,0.0757936507936508,0.0457380457380457,0.0368654699864891,0.0532091097308489,0.122163980597716,0.0384437239462714,0.0373891001267427,0.10956214411938,0.0240837696335079,0.0651558073654391,0.0506993006993007,0.0390625,0.0948168230300004,0.0618363522798251,0.0538213577253692,0.0489642184557439,0.0912597527833786,0.0522247754334656,0.012591286829514,0.034167339252085,0.107587180925084
"Ddc",0.0550089689951341,0.0292235957492952,0.0274635308127419,0.0379472011579245,0.0402552773686794,0.0323418582354122,0.0185396463205933,0.0343647798742138,0.0737100737100737,0.0125,0.0246062992125984,0.011605415860735,0.0421588717454195,0.0144694533762058,0.00902061855670103,0.0397693769245889,0.0575721762620294,0.032258064516129,0.0223179759142636,0.0421904096834264,0.0378576037857604,0.0277003701701119,0.0428079383303264,0.0400793650793651,0.0145530145530146,0.0382808981535096,0.0324361628709455,0.0313135659521202,0.0328855951829551,0.0190114068441065,0.0270960141370509,0.0246073298429319,0.0084985835694051,0.0241576605212969,0,0.0378125780330325,0.0243597751405372,0.0402110425391228,0.0306967984934087,0.0367318313316385,0.0323793607687487,0.0506169730546462,0.0619974292290676,0.0700251313685172
"Ddit3",0.0885496262701737,0.0261873780091087,0.0422744864543019,0.0558509801453699,0.047373588610702,0.12430600459319,0.0362236166571592,0.0393459119496855,0.00737100737100737,0.02,0.0374015748031496,0.0183752417794971,0.0620178399228544,0.0176848874598071,0.0167525773195876,0.0370995217191902,0.0521695086949181,0.0537634408602151,0.0351342393105734,0.0611615456238361,0.0624507062450706,0.0529468036434721,0.0457602099393144,0.033994708994709,0.053014553014553,0.0664607862060091,0.0452035886818496,0.0397433891409795,0.0345067160722557,0.0297845373891001,0.0365207147064598,0.0261780104712042,0.0538243626062323,0.0351239669421488,0.0546875,0.045375093639639,0.0437226733291693,0.0633954154727794,0.0408662900188324,0.107565529937758,0.0630875287236265,0.0596826995718962,0.0528203748542732,0.114981203397927
"Ddr1",0.0921997078893312,0.0984059856864021,0.0242631735635606,0.0311821528586262,0.0251595483554246,0.0485072130928226,0.0356531660011409,0.0447295597484277,0.00491400491400491,0.015,0.0915354330708661,0.0125725338491296,0.0360414657666345,0.00482315112540193,0.00902061855670103,0.0360839939723514,0.0468343744723957,0.021505376344086,0.025301071704784,0.039397113594041,0.0732057073205707,0.0395125400324419,0.0175496145645399,0.0294973544973545,0.0145530145530146,0.04169079328315,0.0256038647342995,0.0310201846346425,0.0226956924502084,0.0190114068441065,0.0212055762811702,0.0392670157068063,0.0311614730878187,0.0847107438016529,0.0078125,0.0319623301109407,0.0443472829481574,0.0547718756887811,0.0212806026365348,0.04725168756027,0.0146229371213704,0.0256862251322085,0.0353331539772218,0.123600639707562
"Ddr2",0.0280004477988862,0.0105725439167209,0.0090800833581423,0.0125861363707876,0.0147275405007364,0.0118508773885705,0.0128351397604107,0.0176100628930818,0.0171990171990172,0.0075,0.0078740157480315,0.00967117988394584,0.0375482160077146,0.00643086816720257,0.0128865979381443,0.0148561881674638,0.0137768022961337,0,0.0125952933377527,0.0149557728119181,0.0243063024306302,0.0162209374870025,0.0111530260783992,0.0112433862433862,0.0135135135135135,0.0146368139998713,0.0132505175983437,0.0140627444844312,0.0136637332098194,0.0152091254752852,0.0106027881405851,0.0141361256544503,0.0084985835694051,0.00985378258105531,0.0234375,0.0149823422395034,0.0224859462835728,0.0177430019836897,0.0137476459510358,0.021127377925835,0.0110716523918947,0.0103248552002015,0.0180252892117299,0.0384032234614825
