sample_id	dataset	format	treatment	condition	timepoint_h	model	slide_id	physical_barcode	block_label	extract_key	counts_path	metadata_path	raw_input_path
sam0012	Mutter_02	rds	NT	Control	48	flank	sld0005	Mutter_02_slide01	s1_region1	1	NA	NA	/mnt/data/projects/spatial-rads/inputs/mutter02/seuratObject_01_Mutter_02_CosMmR.RDS
sam0013	Mutter_02	rds	MBRT	MBRT_day2	48	flank	sld0005	Mutter_02_slide01	s1_region34	2	NA	NA	/mnt/data/projects/spatial-rads/inputs/mutter02/seuratObject_01_Mutter_02_CosMmR.RDS
sam0014	Mutter_02	rds	SBRT	SBRT_day2	48	flank	sld0005	Mutter_02_slide01	s1_region28	3	NA	NA	/mnt/data/projects/spatial-rads/inputs/mutter02/seuratObject_01_Mutter_02_CosMmR.RDS
sam0015	Mutter_02	rds	NT	Control	48	flank	sld0006	Mutter_02_slide02	s2_region2	1	NA	NA	/mnt/data/projects/spatial-rads/inputs/mutter02/seuratObject_02_Mutter_02_CosMmR.RDS
sam0016	Mutter_02	rds	MBRT	MBRT_day2	48	flank	sld0006	Mutter_02_slide02	s2_region35	2	NA	NA	/mnt/data/projects/spatial-rads/inputs/mutter02/seuratObject_02_Mutter_02_CosMmR.RDS
sam0017	Mutter_02	rds	SBRT	SBRT_day2	48	flank	sld0006	Mutter_02_slide02	s2_region30	3	NA	NA	/mnt/data/projects/spatial-rads/inputs/mutter02/seuratObject_02_Mutter_02_CosMmR.RDS
sam0018	Mutter_02	rds	NT	Control	48	flank	sld0007	Mutter_02_slide03	s3_region3	1	NA	NA	/mnt/data/projects/spatial-rads/inputs/mutter02/seuratObject_03_Mutter_02_CosMmR.RDS
sam0019	Mutter_02	rds	MBRT	MBRT_day2	48	flank	sld0007	Mutter_02_slide03	s3_region19	2	NA	NA	/mnt/data/projects/spatial-rads/inputs/mutter02/seuratObject_03_Mutter_02_CosMmR.RDS
sam0020	Mutter_02	rds	SBRT	SBRT_day2	48	flank	sld0007	Mutter_02_slide03	s3_region16	3	NA	NA	/mnt/data/projects/spatial-rads/inputs/mutter02/seuratObject_03_Mutter_02_CosMmR.RDS
sam0021	Mutter_02	rds	NT	Control	48	flank	sld0008	Mutter_02_slide04	s4_region1	1	NA	NA	/mnt/data/projects/spatial-rads/inputs/mutter02/seuratObject_04_Mutter_02_CosMmR.RDS
sam0022	Mutter_02	rds	MBRT	MBRT_day2	48	flank	sld0008	Mutter_02_slide04	s4_region20	2	NA	NA	/mnt/data/projects/spatial-rads/inputs/mutter02/seuratObject_04_Mutter_02_CosMmR.RDS
sam0023	Mutter_02	rds	SBRT	SBRT_day2	48	flank	sld0008	Mutter_02_slide04	s4_region18	3	NA	NA	/mnt/data/projects/spatial-rads/inputs/mutter02/seuratObject_04_Mutter_02_CosMmR.RDS
